aldfly,Empidonax alnorum_Alder Flycatcher
merlin,Falco columbarius_Merlin
moublu,Sialia currucoides_Mountain Bluebird
mouchi,Poecile gambeli_Mountain Chickadee
moudov,Zenaida macroura_Mourning Dove
norcar,Cardinalis cardinalis_Northern Cardinal
norfli,Colaptes auratus_Northern Flicker
norhar2,Circus hudsonius_Northern Harrier
normoc,Mimus polyglottos_Northern Mockingbird
norpar,Setophaga americana_Northern Parula
norpin,Anas acuta_Northern Pintail
norsho,Spatula clypeata_Northern Shoveler
norwat,Parkesia noveboracensis_Northern Waterthrush
nrwswa,Stelgidopteryx serripennis_Northern Rough-winged Swallow
nutwoo,Dryobates nuttallii_Nuttall's Woodpecker
olsfly,Contopus cooperi_Olive-sided Flycatcher
orcwar,Leiothlypis celata_Orange-crowned Warbler
osprey,Pandion haliaetus_Osprey
ovenbi1,Seiurus aurocapilla_Ovenbird
palwar,Setophaga palmarum_Palm Warbler
pasfly,Empidonax difficilis_Pacific-slope Flycatcher
pecsan,Calidris melanotos_Pectoral Sandpiper
perfal,Falco peregrinus_Peregrine Falcon
phaino,Phainopepla nitens_Phainopepla
pibgre,Podilymbus podiceps_Pied-billed Grebe
pilwoo,Dryocopus pileatus_Pileated Woodpecker
pingro,Pinicola enucleator_Pine Grosbeak
pinjay,Gymnorhinus cyanocephalus_Pinyon Jay
pinsis,Spinus pinus_Pine Siskin
pinwar,Setophaga pinus_Pine Warbler
plsvir,Vireo plumbeus_Plumbeous Vireo
prawar,Setophaga discolor_Prairie Warbler
purfin,Haemorhous purpureus_Purple Finch
pygnut,Sitta pygmaea_Pygmy Nuthatch
rebmer,Mergus serrator_Red-breasted Merganser
rebnut,Sitta canadensis_Red-breasted Nuthatch
rebsap,Sphyrapicus ruber_Red-breasted Sapsucker
rebwoo,Melanerpes carolinus_Red-bellied Woodpecker
redcro,Loxia curvirostra_Red Crossbill
redhea,Aythya americana_Redhead
reevir1,Vireo olivaceus_Red-eyed Vireo
renpha,Phalaropus lobatus_Red-necked Phalarope
reshaw,Buteo lineatus_Red-shouldered Hawk
rethaw,Buteo jamaicensis_Red-tailed Hawk
rewbla,Agelaius phoeniceus_Red-winged Blackbird
ribgul,Larus delawarensis_Ring-billed Gull
rinduc,Aythya collaris_Ring-necked Duck
robgro,Pheucticus ludovicianus_Rose-breasted Grosbeak
rocpig,Columba livia_Rock Pigeon
rocwre,Salpinctes obsoletus_Rock Wren
rthhum,Archilochus colubris_Ruby-throated Hummingbird
ruckin,Regulus calendula_Ruby-crowned Kinglet
rudduc,Oxyura jamaicensis_Ruddy Duck
rufgro,Bonasa umbellus_Ruffed Grouse
rufhum,Selasphorus rufus_Rufous Hummingbird
rusbla,Euphagus carolinus_Rusty Blackbird
sagspa1,Artemisiospiza nevadensis_Sagebrush Sparrow
sagthr,Oreoscoptes montanus_Sage Thrasher
savspa,Passerculus sandwichensis_Savannah Sparrow
saypho,Sayornis saya_Say's Phoebe
scatan,Piranga olivacea_Scarlet Tanager
scoori,Icterus parisorum_Scott's Oriole
semplo,Charadrius semipalmatus_Semipalmated Plover
semsan,Calidris pusilla_Semipalmated Sandpiper
sheowl,Asio flammeus_Short-eared Owl
shshaw,Accipiter striatus_Sharp-shinned Hawk
snobun,Plectrophenax nivalis_Snow Bunting
snogoo,Anser caerulescens_Snow Goose
solsan,Tringa solitaria_Solitary Sandpiper
sonspa,Melospiza melodia_Song Sparrow
sora,Porzana carolina_Sora
sposan,Actitis macularius_Spotted Sandpiper
spotow,Pipilo maculatus_Spotted Towhee
stejay,Cyanocitta stelleri_Steller's Jay
swahaw,Buteo swainsoni_Swainson's Hawk
swaspa,Melospiza georgiana_Swamp Sparrow
swathr,Catharus ustulatus_Swainson's Thrush
treswa,Tachycineta bicolor_Tree Swallow
truswa,Cygnus buccinator_Trumpeter Swan
tuftit,Baeolophus bicolor_Tufted Titmouse
tunswa,Cygnus columbianus_Tundra Swan
veery,Catharus fuscescens_Veery
vesspa,Pooecetes gramineus_Vesper Sparrow
vigswa,Tachycineta thalassina_Violet-green Swallow
warvir,Vireo gilvus_Warbling Vireo
wesblu,Sialia mexicana_Western Bluebird
wesgre,Aechmophorus occidentalis_Western Grebe
weskin,Tyrannus verticalis_Western Kingbird
wesmea,Sturnella neglecta_Western Meadowlark
wessan,Calidris mauri_Western Sandpiper
westan,Piranga ludoviciana_Western Tanager
wewpew,Contopus sordidulus_Western Wood-Pewee
whbnut,Sitta carolinensis_White-breasted Nuthatch
whcspa,Zonotrichia leucophrys_White-crowned Sparrow
whfibi,Plegadis chihi_White-faced Ibis
whtspa,Zonotrichia albicollis_White-throated Sparrow
whtswi,Aeronautes saxatalis_White-throated Swift
wilfly,Empidonax traillii_Willow Flycatcher
wilsni1,Gallinago delicata_Wilson's Snipe
wiltur,Meleagris gallopavo_Wild Turkey
winwre3,Troglodytes hiemalis_Winter Wren
wlswar,Cardellina pusilla_Wilson's Warbler
wooduc,Aix sponsa_Wood Duck
wooscj2,Aphelocoma woodhouseii_Woodhouse's Scrub-Jay
woothr,Hylocichla mustelina_Wood Thrush
y00475,Fulica americana_American Coot
yebfly,Empidonax flaviventris_Yellow-bellied Flycatcher
yebsap,Sphyrapicus varius_Yellow-bellied Sapsucker
yehbla,Xanthocephalus xanthocephalus_Yellow-headed Blackbird
yelwar,Setophaga petechia_Yellow Warbler
yerwar,Setophaga coronata_Yellow-rumped Warbler
yetvir,Vireo flavifrons_Yellow-throated Vireo
